Id,Name,DayTrend30,Members
13167,Bandos dragonhide set,+13.0%,true
11804,Bandos godsword,+7.0%,true
20071,Bandos godsword ornament kit,+17.0%,true
11812,Bandos hilt,+0.0%,true
12488,Bandos kiteshield,+3.0%,false
12482,Bandos platelegs,+1.0%,false
12484,Bandos plateskirt,+0.0%,false
12267,Bandos robe legs,+7.0%,true
12265,Bandos robe top,+21.0%,true
12269,Bandos stole,+104.0%,true
11834,Bandos tassets,+1.0%,true
10129,Barb-tail harpoon,+6.0%,true
3239,Bark,+1.0%,true
3216,Barrel,+2.0%,true
22603,Basalt,+17.0%,true
5376,Basket,+100.0%,true
22470,Bastion potion(1),+22.0%,true
22467,Bastion potion(2),+24.0%,true
22949,Battlefront teleport,+8.0%,true
22458,Battlemage potion(1),+27.0%,true
22455,Battlemage potion(2),+16.0%,true
22452,Battlemage potion(3),+31.0%,true
22449,Battlemage potion(4),+2.0%,true
1391,Battlestaff,+6.0%,true
948,Bear fur,+19.0%,false
8516,Beer barrel,+6.0%,true
1919,Beer glass,+26.0%,false
3751,Berserker helm,+2.0%,true
11128,Berserker necklace,+2.0%,true
6737,Berserker ring,+6.0%,true
5521,Binding necklace,+1.0%,true
21512,Bird house,+1.0%,true
5075,Bird nest,+45.0%,true
1313,Black 2h sword,+3.0%,false
1367,Black battleaxe,+41.0%,false
2635,Black beret,+41.0%,true
7327,Black boater,+7.0%,true
4125,Black boots,+1.0%,true
1019,Black cape,+7.0%,false
2503,Black d'hide body,+1.0%,true
12385,Black d'hide body (t),+2.0%,true
2497,Black d'hide chaps,+4.0%,true
1217,Black dagger,+8.0%,false
3093,Black dart,+7.0%,true
5631,Black dart(p+),+6.0%,true
5638,Black dart(p++),+9.0%,true
6752,Black desert robe,+2.0%,true
2509,Black dragon leather,+7.0%,true
12524,Black dragon mask,+3.0%,true
1747,Black dragonhide,+11.0%,true
12871,Black dragonhide set,+1.0%,true
2587,Black full helm (t),+20.0%,false
3196,Black halberd,+1.0%,true
10306,Black helm (h1),+27.0%,false
10308,Black helm (h2),+2.0%,false
10312,Black helm (h4),+12.0%,false
10314,Black helm (h5),+14.0%,false
874,Black knife(p),+4.0%,true
5658,Black knife(p+),+4.0%,true
5665,Black knife(p++),+9.0%,true
1297,Black longsword,+11.0%,false
1426,Black mace,+23.0%,false
8921,Black mask,+9.0%,true
8901,Black mask (10),+10.0%,true
1151,Black med helm,+1.0%,false
4821,Black nails,+11.0%,true
2583,Black platebody (t),+0.0%,false
